name,lat,lon,idps,households
Manawi pasha,30.505,47.850556,60,204
Kut al-hejaj,30.505278,47.803056,12,210
Al-tahseeniya al-qadeema,30.506944,47.821111,36,210
Shuqaq al-faw,30.5075,47.796944,12,222
Sabkhat al-arab,30.508056,47.805278,12,222
At-tahseeniya al-jadeda,30.510833,47.825556,30,222
Al-asma_i al-jadeed,30.511389,47.791944,174,222
Braiha,30.511667,47.8425,204,234
Hay Al-Zohoor,30.513056,47.845556,42,240
As-sa_ii,30.516111,47.831667,18,258
Al Tuwaysa,30.51756,47.818848,84,264
Ar-rafedain,30.521389,47.802778,12,282
Al Jumhuriya,30.522139,47.797543,156,288
Durr Al Naaft,30.526098,47.790972,36,288
Al-qeshla,30.526111,47.834722,42,288
Hai az-zahra_a,30.527778,47.814722,18,300
Al-andalus,30.532222,47.859167,24,300
Al-hakemia,30.534167,47.817222,84,300
Hai al-antesar,30.535,47.799444,6,300
Hai al-bato_l,30.536389,47.781389,12,300
5 Miles,30.538814,47.764197,972,324
Hay al-jami_a,30.54,47.865278,102,324
AL Mowafaqiah,30.543126,47.766062,138,324
Door as-sailo_,30.543333,47.8175,42,330
Door al-hendiya,30.546389,47.791111,12,336
Al-jubaila_,30.548056,47.81,66,354
Eskan al-mawanie',30.548889,47.783889,18,360
50 hosh,30.55,47.789167,12,360
Al Maqil- Al-kindi,30.550556,47.77,18,360
Al Maqil,30.553453,47.783347,12,372
Al-hakeem,30.556111,47.791389,24,372
Abu sukhair,30.56,47.734444,18,396
Najibiah,30.574324,47.768614,42,402
Al-badran,30.582222,47.764722,96,402
Al Latif - 2,30.585972,47.752489,6,420
Door at-taqa,30.675278,47.751944,6,444
Al-shannanh,30.8463,47.5423,6,450
Al-mezearah,30.89,47.52,24,456
Hay al-juma_a,31.023333,47.428889,48,468
Al Amn Al Dakhly,30.4694,47.775,102,474
Hay Al-Husain 3,30.4936,47.788,54,480
Hay Al-Asdiqa'a,30.525,47.7777,90,486
Al-Jnaina,30.5522,47.8,78,492
Hay Al Hussain,30.3816,47.7314,12,510
Hay Tariq,30.5489,47.7582,18,510
Door Al-Sho'oen,30.494166,47.810277,60,528
Khor Al zubir,30.225,47.77,180,528
Al Jaza'ir,30.503611,47.832778,66,552
Door Al Dubbat,30.536389,47.789167,108,564
Al Tameemiya,30.526944,47.829167,54,570
Door Al Sakak,30.474167,47.647222,30,582
Door Nowab Al Dubbat,30.529167,47.774167,12,624
Hay Al Shuhada'a,30.370833,47.723333,114,624
Al-Mishraq Al-Jadeed,30.484722,47.812778,72,660
Al-Baker & Al-Ahrar,30.501667,47.812778,96,660
Hay Al-Ansar,30.375278,47.722778,6,672
Al Qabla \\ Hay Al Baladiyat,30.464444,47.804167,6,702
Hawy,31.758056,44.596111,300,714
Al-subah,31.818333,44.9375,54,720
Al-suraa,31.835278,44.923333,42,744
Albu Khnefis village,32.020337,44.841918,300,750
Al-tharwa al- alhaiwaniya,31.941667,44.753611,156,762
Al-shuhada,31.950833,44.839722,18,786
Hay al-husien,31.956667,44.586667,90,798
Al-aaskary al-gharby,31.959444,44.594722,360,828
Mahlat al-souq,31.963333,44.601389,528,834
Hay Al-Salam (Random Area),31.972222,45.413611,300,834
Al-Jazaair 2,31.987778,44.908333,168,858
A'l hamad,32.0025,44.995,420,894
`al-khalifa,32.021111,44.822222,360,900
Hay Al-Askaary,32.137,44.929,300,924
Hay Al-Askari,32.056111,45.257778,288,924
Al-Sadiq (1),31.991111,44.933611,180,948
Hay Al-Dhubat  2,32.001667,44.933333,132,966
Hay Al-Waili,32.062778,45.253611,480,972
AL-Jamiyah   2,32.00085,44.9309,24,972
Hay AL-Amel,32.00533,44.856,120,984
AL-Qati,32.06052,45.23145,660,1014
Timar,35.85,45.07,48,1014
Qamchugha,35.89,45.01,1158,1032
Khalakan,36.02,44.83,114,1038
Khurmal,35.29,46.03,672,1038
Kulajo,34.84,45.14,8496,1074
Barda Sur,34.64,45.36,2826,1080
Qalat,36.39,44.77,1188,1086
Sitak,35.63,45.51,324,1122
Chwarta,35.71,45.56,24,1158
Sarchnar,35.58,45.38,3444,1158
Qaratughan,35.51,45.43,582,1170
Qaradagh,35.31,45.39,180,1176
Hwana,35.49,45.44,798,1188
Damrkan,35.45227,45.50884,120,1200
Baranan,35.5,45.28,1626,1200
Bakrajo,35.55,45.35,828,1206
Qirga,35.53,45.47,1170,1218
Sardawa,35.57,45.26,894,1230
Chwarqurna,36.2,44.82,1230,1230
Mughagh,35.78,45.11,36,1260
Piryadi,35.51,44.86,1710,1290
Topzawa,35.95,44.98,222,1302
Sangaw,35.28,45.17,168,1344
Kani Goizh,35.62,45.92,396,1344
Hajiawa,36.23,44.79,1038,1350
Sarkapkan,36.28,44.82,552,1350
Awbara,35.55,45.38,972,1398
Kani Kurda,35.58,45.39,1260,1410
Raparrin,35.57,45.33,1302,1410
Shekh Abbas,35.52,45.42,624,1488
Tasluja,35.59,45.22,2394,1500
Zargata,35.57509,45.41194,1344,1518
Gurgai Fattah,35.55,44.84,222,1518
Azady,35.71,44.93,36,1560
Sangasar,36.44,45.01,492,1590
Qliasan,35.58,45.37,1074,1596
Zerinok,35.53,45.43,762,1620
Sirwan,35.2543,45.9387,288,1626
Qularaese Kon,35.5973,45.3477,2046,1650
Hawara barza,35.131667,45.686389,1080,1668
Shaheedan,35.7303,45.13739,1410,1710
Sharawany,35.72923,45.14605,1518,1734
Rizgare,35.42952,45.58506,2736,1740
Al-'iefar,32.488889,44.278889,60,1800
Al Qasim - Al Askari,32.3,44.67,288,1932
An Nil,32.52,44.55,264,1974
Jabla Al Imam Village,32.66,44.5,402,2016
Awlad Kazim,32.69,44.32,102,2046
Al Musiyab Center,32.783325,44.277915,30,2130
Sabbaghiyah,32.65,44.47,60,2268
Saddat al Hindiyah - Al offi,32.71,44.28,6,2346
Al-mi'amrah,32.236389,44.365278,234,2382
Al-muradiyah,32.268333,44.395,258,2394
Al-khiweldiyah,32.276111,44.689167,156,2418
Hay khirbatt,32.295,44.681389,564,2454
Hay al-tahady,32.327778,44.918333,72,2484
Al-mazeiadeiah,32.378056,44.628611,192,2568
Al-ibrahemiyah,32.384444,44.5375,444,2646
Al-nidhal,32.44,44.346389,180,2700
Sadat Al-Ameir,32.752097,44.275847,12,2736
Hay Al-Shuhada'a,32.878442,44.387352,24,2760
Hay al-hussein,32.477778,44.418056,18,2826
Abi gharaq al-awsatt,32.481944,44.355833,144,3090
Abo nafa'a,32.506667,44.524444,102,3096
Zighaib al-arab/1,32.523056,44.269722,150,3288
Hay al-amer,32.527778,44.35,240,3444
Mutaqa'edeen neighborhood,32.757743,44.290741,222,3462
Abo Luka,32.891981,44.333626,468,3540
Hur Husaein,32.772231,44.281701,282,3576
Anana village,32.53,44.412,120,3942
Tajia village,32.423611,44.41,192,4098
Hay Al- Jamiea,32.19696,44.7126,138,4548
Hamza Al Dali Village,32.24419,44.38261,66,4698
Hay Al-Muharbeen,32.488572,44.412674,150,5280
Hay Al-Risala 1,32.5275,44.643056,174,6840
Hitten Complex,32.885117,44.348053,42,7974
Al- Jamiea',32.471389,44.438611,120,8496
Al-Shawi,32.40428,44.323957,354,27336
